Latin,Russian
" Vita brevis, ars lоngа"," Жизнь кopoткa, иcкyccтво — вeчно"
 Scientia роtеntiа est, Знaниe — cилa
 Volens — nоlеns, Boлей — нeвoлeй
" Dum spiro, spero", Пока дышу — надеюсь
 Per aspera ad astra," Через тернии — к звездам
"
 Нistoria est magistra vita, История — учительница жизни
 Terra incognita, Неизвестная земля
 Homo sapiens, Человек разумный
 Sina era est studio," Без гнева и пристрастия
"
 Cogito ergo sum," Мыслю, следовательно существую"
 Non scholae sed vitae discimus," Мы учимся не для школы, а для жизни"
 Bis dat qui cito dat," Дважды дает тот, кто дает быстро"
 Clavus clavo pellitur, Клин клином вышибают
 Alter ego," Второе ""я"""
 Errare humanum est, Человеку свойственно ошибаться
 Repetitio est mater studiorum, Повторенье — мать ученья
 Nomina sunt odiosa, Имена ненавистны
 Otium post negotium, Отдых после дела
 Mens sana in corpore sano, В здоровом теле здоровый дух
 Urbi et orbi, Городу и миру
" Amicus Plato, sed magis amica veritas"," Платон мне друг, но истина дороже"
 Finis coronat opus, Конец — делу венец
" Homo locum ornat, non locus hominem"," Не место красит человека, а человек — место"
 Ad majorem Dei gloriam, К вящей славе Божией
 Una hirundo ver non facit, Одна ласточка весны не делает
" Citius, altius, fortius"," Быстрее, выше, сильнее"
 Sic transit gloria mundi, Так проходит земная слава
 Aurora Musis amica, Аврора — подруга музам
 Tempora mutantur et nos mutamur in illis," Времена меняются, и мы меняемся вместе с ними"
" Non multa, sed multum"," Не много, но о многом"
 E fructu arbor cognoscitur, Дерево узнается по плоду
" Veni, vidi, vici"," Пришел, увидел, победил"
 Post scriptum, После написанного
 Alea est jacta, Жребий брошен
 Dixi et animam salvavi, Я сказал это и этим спас свою душу
 Nulla dies sine linea, Ни дня без строчки
" Quod licet Jovi, non licet bovi"," Что позволено Юпитеру, не позволено Быку"
" Felix, qui potuti rerum cogoscere causas"," Счастлив тот, кто познал причину вещей"
" Si vis pacem, para bellum"," Хочешь мира, готовься к войне"
 Nosce te ipsum, Познай самого себя
 Est modus in rebus, Есть мера в вещах
 Jurare in verba magistri, Клясться словами учителя
" Qui tacet, consentire videtur", Молчание — знак согласия
 Cui bono, Кому на пользу
 Scio me nihil scire," Я знаю, что я ничего не знаю"
 In hoc signo vinces, Под этим знаменем победишь (Сим победиши
" Labor recedet, bene factum non abscedet"," Трудности уйдут, а благое дело останется"
 Non est fumus absque igne, Нет дыма без огня
 Duobus certantibus tertius gaudet, Когда двое дерутся — третий радуется
 Divide et impera, Разделяй и властвуй
 Corda nostra laudus est, Наши сердца больны от любви
 O tempora, O mores
 Homo est animal sociale, Человек есть общественное животное
 Homo homini lupus est, Человек человеку — волк
" Dura lex, sed lex"," Закон суров, но справедлив"
 O sancta simplicitas, Святая простота
 Hominem quaero (Dioqines), Ищу человека (Диоген)
 At Kalendas Graecas," К греческим календам (После дождичка в четверг)
"
" Quo usque Catlina, abuter patientia nostra"," До каких пор, Катилина, ты будешь злоупотреблять нашим терпением"
 Vox populi — vox Dei, Голос народа — голос Бога
 In vene veritas, Истина в вине
" Qualis rex, talis grex"," Каков поп, таков и приход"
" Qualis dominus, tales servi"," Каков хозяин, таков и слуга"
 Si vox est — canta, Если у тебя есть голос — пой
" I, pede fausto", Иди счастливой поступью
 Tempus consilium dabet, Время покажет
" Barba crescit, caput nescit"," Волос долог, ум короток"
 Labores gigunt hanores, Труды порождают почести
" Amicus cognoscitur in amore, more, ore, re"," Друг познается в любви, нраве, речах, делах"
 Ecce homo, Вот человек
 Homo novus," Новый человек, ""выскочка"""
 In pace litterae florunt, Во имя мира науки процветают
